Tipo de Zona;Contrato;Producto;Código Uso;Nombre Estrato;Año;Mes;Código;Unidades Cobradas;Valor;Valor Tarifa/Consumo
1-RURAL;10770397;120869189;1;ESTRATO 1;2025;8;530;1;3369;923,2
1-RURAL;10770414;120869202;1;ESTRATO 1;2025;8;530;63,333;3369;58469,03
1-RURAL;7545284;120602887;1;ESTRATO 2;2025;8;530;0;4508;0
1-RURAL;12715879;130963039;1;ESTRATO 1;2025;8;530;31,333;3369;28926,63
1-RURAL;7545030;120602683;1;ESTRATO 2;2025;8;530;73,666;4508;65643,04
1-RURAL;13063462;132097503;1;ESTRATO 2;2025;8;530;103;4508;94093,59
1-RURAL;10998050;121941443;1;ESTRATO 1;2025;8;530;29,334;3369;27081,15
1-RURAL;7545460;120603010;1;ESTRATO 2;2025;8;530;80,333;4508;74163,43
1-RURAL;7545303;120602904;1;ESTRATO 1;2025;8;530;94,333;3369;87088,23
1-RURAL;10812408;121212865;1;ESTRATO 1;2025;8;530;13,333;3369;12309,03
1-RURAL;10684303;120605765;1;ESTRATO 1;2025;8;530;87;3369;77524,83
1-RURAL;12399596;129816637;1;ESTRATO 1;2025;8;530;127;3369;116018,31
1-RURAL;10843303;121323614;1;ESTRATO 1;2025;8;530;69,333;3369;63337,78
1-RURAL;7545222;120602839;1;ESTRATO 2;2025;8;530;277,333;4508;247128,66
1-RURAL;7545124;120602759;1;ESTRATO 2;2025;8;530;0,666;4508;614,85
1-RURAL;10830780;121323580;1;ESTRATO 1;2025;8;530;47,333;3369;43240,12
1-RURAL;7545113;120602749;1;ESTRATO 2;2025;8;530;111;4508;102475,2
1-RURAL;7544525;120602288;1;ESTRATO 2;2025;8;530;1,666;4508;1538,05
1-RURAL;12552467;130382914;1;ESTRATO 2;2025;8;530;160;4508;142574,4
1-RURAL;12622317;130671404;1;ESTRATO 2;2025;8;530;47;4508;43390,4
1-RURAL;7543941;120601832;1;ESTRATO 2;2025;8;530;224;4508;204630,72
1-RURAL;7545373;120602950;2;unica;2025;8;530;0;31792;0
1-RURAL;10830776;121323576;1;ESTRATO 1;2025;8;530;26,666;3369;24618,05
1-RURAL;7542853;120601149;1;ESTRATO 2;2025;8;530;18,333;4508;16925,03
1-RURAL;11610772;123813780;1;ESTRATO 2;2025;8;530;389,666;4508;355971,58
1-RURAL;12898080;131916792;1;ESTRATO 1;2025;8;530;18,333;3369;16747,75
1-RURAL;7544482;120602258;1;ESTRATO 3;2025;8;530;101,333;5979;90296,82
1-RURAL;11880775;124638909;1;ESTRATO 1;2025;8;530;106,333;3369;97138,39
1-RURAL;11659221;123993362;1;ESTRATO 2;2025;8;530;91;4508;84011,2
1-RURAL;7544434;120602216;1;ESTRATO 1;2025;8;530;3,666;3369;3384,45
1-RURAL;7545473;120603022;1;ESTRATO 1;2025;8;530;0;3369;0
1-RURAL;7544745;120602464;1;ESTRATO 1;2025;8;530;129,333;3369;119400,23
1-RURAL;13043613;132048811;1;ESTRATO 1;2025;8;530;71;3369;63267,39
1-RURAL;10805397;121112793;1;ESTRATO 1;2025;8;530;87,666;3369;80085,52
1-RURAL;13155649;132389952;1;ESTRATO 2;2025;8;530;58;4508;53545,6
1-RURAL;12048478;124897561;1;ESTRATO 2;2025;8;530;88,667;4508;80999,96
1-RURAL;7544283;120602092;1;ESTRATO 2;2025;8;530;99,333;4508;88514,64
1-RURAL;7543376;120601471;1;ESTRATO 2;2025;8;530;81;4508;73995,93
1-RURAL;12336011;126729018;1;ESTRATO 2;2025;8;530;441,333;4508;403170,94
1-RURAL;12241459;126536879;1;ESTRATO 5;2025;8;530;125,666;16418;104572,96
1-RURAL;13222186;132629853;1;ESTRATO 1;2025;8;530;0;3369;0
1-RURAL;7544622;120602363;1;ESTRATO 2;2025;8;530;69;4508;61485,21
1-RURAL;7544223;120602042;1;ESTRATO 5;2025;8;530;645,666;16418;575346,52
1-RURAL;10561851;120605634;1;ESTRATO 1;2025;8;530;156;3369;142510,68
1-RURAL;7545208;120602828;1;ESTRATO 2;2025;8;530;48;4508;43849,44
1-RURAL;7544556;120602316;1;ESTRATO 2;2025;8;530;234,666;4508;216643,65
1-RURAL;12470227;130054246;1;ESTRATO 2;2025;8;530;223,333;4508;204021,4
1-RURAL;7543864;120601780;1;ESTRATO 2;2025;8;530;25,333;4508;23387,43
1-RURAL;7544463;120602240;1;ESTRATO 2;2025;8;530;156;4508;139010,04
1-RURAL;5907375;120599991;1;ESTRATO 2;2025;8;530;214;4508;190526,34
2-URBANO;12409466;120602443;5;unica;2025;8;530;55;31792;48967,05
1-RURAL;7825683;120605189;1;ESTRATO 2;2025;8;530;128;4508;107072
1-RURAL;7825651;120605182;1;ESTRATO 5;2025;8;530;565;16418;472622,5
1-RURAL;7825463;120605128;1;ESTRATO 5;2025;8;530;1717;16418;1436270,5
1-RURAL;12774037;131349111;1;ESTRATO 5;2025;8;530;255;16418;195187,2
1-RURAL;11154724;130998627;3;unica;2025;8;530;1275;35588;975936
1-RURAL;7826878;120605321;2;unica;2025;8;530;2;31792;1673
1-RURAL;11562450;130998581;1;ESTRATO 4;2025;8;530;3839;12717;3211323,5
1-RURAL;12665848;130828763;3;unica;2025;8;530;270;33690;206668,8
1-RURAL;7825961;120605263;1;ESTRATO 5;2025;8;530;681;16418;569656,5
1-RURAL;10352949;130998552;1;ESTRATO 1;2025;8;530;0;3369;0
1-RURAL;7825689;120605195;1;ESTRATO 5;2025;8;530;132;16418;110418
1-RURAL;7827210;120605359;1;ESTRATO 2;2025;8;530;30;4508;25095
1-RURAL;7806695;120605088;4;unica;2025;8;530;323,334;33690;287867,49
1-RURAL;7806601;120605083;1;ESTRATO 2;2025;8;530;36;4508;32051,16
2-URBANO;7546537;120604019;1;ESTRATO 3;2025;8;530;63;5979;56089,53
1-RURAL;13184799;132516229;2;unica;2025;8;530;0;31792;0
2-URBANO;10730390;120605968;1;ESTRATO 2;2025;8;530;65;4508;57870,15
2-URBANO;7545929;120603448;1;ESTRATO 2;2025;8;530;324;4508;288460,44
2-URBANO;7546848;120604313;1;ESTRATO 2;2025;8;530;0;4508;0
2-URBANO;7546396;120603884;1;ESTRATO 3;2025;8;530;124;5979;110398,44
2-URBANO;7547531;120604936;1;ESTRATO 2;2025;8;530;140;4508;124643,4
2-URBANO;7547331;120604758;1;ESTRATO 3;2025;8;530;89;5979;79237,59
2-URBANO;12712548;130998596;1;ESTRATO 2;2025;8;530;61;4508;54308,91
2-URBANO;7547101;120604547;1;ESTRATO 2;2025;8;530;128;4508;113959,68
2-URBANO;7546874;120604338;1;ESTRATO 3;2025;8;530;50;5979;44515,5
2-URBANO;7547117;120604562;1;ESTRATO 2;2025;8;530;220;4508;195868,2
2-URBANO;7546929;120604392;1;ESTRATO 2;2025;8;530;93;4508;82798,83
2-URBANO;11377301;123170866;1;ESTRATO 2;2025;8;530;229;4508;203880,99
1-RURAL;12573959;130507448;1;ESTRATO 2;2025;8;530;368;4508;301564,96
2-URBANO;7546668;120604145;1;ESTRATO 2;2025;8;530;85;4508;75676,35
2-URBANO;7546522;120604004;2;unica;2025;8;530;2041;35588;1817122,71
2-URBANO;7546635;120604112;1;ESTRATO 3;2025;8;530;172;5979;153133,32
2-URBANO;12948446;131916627;1;ESTRATO 2;2025;8;530;53;4508;47186,43
2-URBANO;7546337;120603826;1;ESTRATO 3;2025;8;530;77;5979;68553,87
2-URBANO;7545701;120603236;1;ESTRATO 1;2025;8;530;72;3369;64102,32
2-URBANO;7545456;120603006;4;unica;2025;8;530;247;31792;219906,57
2-URBANO;10960139;121843412;1;ESTRATO 2;2025;8;530;113;4508;100605,03
2-URBANO;7546024;120603538;1;ESTRATO 3;2025;8;530;192;5979;170939,52
2-URBANO;7546091;120603598;1;ESTRATO 2;2025;8;530;102;4508;90811,62
2-URBANO;11338896;123077647;1;ESTRATO 2;2025;8;530;103;4508;91701,93
2-URBANO;7546433;120603916;1;ESTRATO 1;2025;8;530;63;3369;56089,53
2-URBANO;7546576;120604057;2;unica;2025;8;530;2413;35588;2148318,03
2-URBANO;7546302;120603792;1;ESTRATO 2;2025;8;530;134;4508;119301,54
2-URBANO;12951109;131995231;1;ESTRATO 2;2025;8;530;50;4508;44515,5
2-URBANO;7546563;120604045;1;ESTRATO 2;2025;8;530;62;4508;55199,22
2-URBANO;7547219;120604655;1;ESTRATO 3;2025;8;530;0;5979;0
2-URBANO;12492470;130176822;1;ESTRATO 2;2025;8;530;1;4508;890,31
2-URBANO;13188590;132629906;3;unica;2025;8;530;0;31792;0
2-URBANO;7547071;122010189;2;unica;2025;8;530;156;31792;138888,36
